Protocol,Length,Average
excerpts,2972,3.0
excerpts,1624,4.0
excerpts,2946,2.75
excerpts,3009,2.75
excerpts,1596,3.25
excerpts,3009,3.75
excerpts,1998,3.5
excerpts,2972,3.0
excerpts,1596,3.0
excerpts,1596,4.0
excerpts,1032,2.75
excerpts,1496,2.75
excerpts,3009,2.75
excerpts,5944,3.5
excerpts,1508,3.25
excerpts,1496,3.0
excerpts,1596,4.5
excerpts,1032,2.75
excerpts,1496,2.75
excerpts,1596,4.75
excerpts,2255,2.5
excerpts,2255,3.5
excerpts,2783,3.25
excerpts,1173,4.0
excerpts,3180,3.75
excerpts,1496,3.75
excerpts,1173,3.75
excerpts,1496,3.25
excerpts,5944,3.75
excerpts,1496,2.5
excerpts,2946,3.25
excerpts,1508,2.5
excerpts,2576,3.25
excerpts,5944,4.25
excerpts,1173,3.75
human_output,2462,5.0
human_output,1043,4.25
human_output,2462,3.0
human_output,834,3.0
human_output,864,2.75
human_output,976,3.75
human_output,1449,3.0
human_output,1527,2.75
human_output,1726,3.75
human_output,987,2.75
human_output,878,3.5
human_output,789,2.5
human_output,928,3.5
human_output,1095,4.5
human_output,1527,3.25
human_output,1137,3.5
human_output,1095,3.0
human_output,3538,3.25
human_output,928,4.0
human_output,1045,2.75
human_output,1406,3.75
human_output,1040,3.25
human_output,1060,2.5
human_output,1108,3.25
human_output,846,2.5
human_output,901,2.5
human_output,1142,4.25
human_output,1208,2.5
human_output,1199,4.75
human_output,1427,4.25
human_output,1032,2.5
human_output,773,3.5
human_output,1078,3.0
computer_output,1160,2.5
computer_output,1313,2.5
computer_output,956,4.0
computer_output,959,3.0
computer_output,1108,2.5
computer_output,1511,2.75
computer_output,1158,4.0
computer_output,1084,4.0
computer_output,1227,3.25
computer_output,1255,4.25
computer_output,1262,3.25
computer_output,1656,2.5
computer_output,1395,2.75
computer_output,1140,3.25
computer_output,858,2.75
computer_output,1206,4.5
computer_output,1123,3.75
computer_output,1604,2.5
computer_output,1283,4.25
computer_output,1255,2.75
computer_output,1164,3.25
computer_output,1257,3.25
computer_output,1386,3.75
computer_output,1457,3.75
computer_output,1141,3.0
computer_output,1264,2.75
computer_output,1395,2.5
random_output,2479,2.5
random_output,2479,3.25
random_output,1736,3.25
random_output,1540,3.5
random_output,972,3.25
random_output,972,3.0
random_output,2406,2.5
random_output,1734,2.5
random_output,1317,3.0
random_output,1739,2.5
random_output,1087,4.5
random_output,1078,3.0
random_output,1127,3.25
random_output,1736,4.25
random_output,1540,2.75
random_output,1363,3.0
