Protocol,Length,Response
excerpts,3180,2
excerpts,2972,3
excerpts,1624,5
excerpts,2946,2
excerpts,3009,4
excerpts,2468,2
excerpts,1596,4
excerpts,3009,4
excerpts,1998,5
excerpts,2781,3
excerpts,2972,5
excerpts,1596,4
excerpts,1596,4
excerpts,1032,4
excerpts,1496,4
excerpts,3009,4
excerpts,5944,4
excerpts,1508,4
excerpts,1496,4
excerpts,1596,5
excerpts,2255,3
excerpts,1032,4
excerpts,1508,3
excerpts,1496,4
excerpts,1596,5
excerpts,2255,5
excerpts,2255,4
excerpts,2783,4
excerpts,3009,1
excerpts,1173,4
excerpts,1032,3
excerpts,3180,4
excerpts,1496,3
excerpts,1173,5
excerpts,2576,3
excerpts,2468,1
excerpts,1496,4
excerpts,5944,4
excerpts,3537,2
excerpts,1496,2
excerpts,1496,3
excerpts,2946,4
excerpts,1508,5
excerpts,2576,5
excerpts,5944,5
excerpts,2789,1
excerpts,2576,2
excerpts,1032,3
excerpts,1173,4
human_output,1595,3
human_output,2462,5
human_output,975,2
human_output,1612,4
human_output,1043,4
human_output,758,2
human_output,2462,4
human_output,834,5
human_output,864,4
human_output,976,4
human_output,1449,3
human_output,1527,3
human_output,1726,3
human_output,987,1
human_output,1760,2
human_output,878,4
human_output,789,3
human_output,1495,1
human_output,928,4
human_output,1095,5
human_output,1527,5
human_output,1137,4
human_output,1780,3
human_output,1384,4
human_output,1060,3
human_output,1095,5
human_output,3538,4
human_output,928,4
human_output,1045,2
human_output,1197,4
human_output,1406,4
human_output,1040,3
human_output,1060,3
human_output,976,2
human_output,1161,3
human_output,1108,4
human_output,1490,1
human_output,846,4
human_output,832,3
human_output,1780,3
human_output,901,3
human_output,1142,5
human_output,1208,3
human_output,1199,5
human_output,1427,5
human_output,1663,1
human_output,1384,2
human_output,1032,3
human_output,773,5
human_output,1078,5
human_output,836,2
computer_output,1160,3
computer_output,1160,2
computer_output,1560,1
computer_output,1313,4
computer_output,1283,1
computer_output,956,4
computer_output,959,1
computer_output,959,3
computer_output,1123,3
computer_output,1123,1
computer_output,1386,2
computer_output,1604,1
computer_output,1604,1
computer_output,1747,1
computer_output,1747,1
computer_output,1398,1
computer_output,1428,1
computer_output,1108,2
computer_output,1108,5
computer_output,1511,1
computer_output,1492,1
computer_output,1158,5
computer_output,1264,1
computer_output,1070,1
computer_output,1206,1
computer_output,1084,5
computer_output,1372,2
computer_output,1372,1
computer_output,1227,3
computer_output,1325,2
computer_output,1220,3
computer_output,1255,5
computer_output,1262,4
computer_output,1656,4
computer_output,1288,2
computer_output,1198,1
computer_output,1503,1
computer_output,1164,1
computer_output,1141,3
computer_output,1227,5
computer_output,1395,3
computer_output,1140,1
computer_output,1140,3
computer_output,858,4
computer_output,1505,2
computer_output,1108,2
computer_output,861,4
computer_output,1206,5
computer_output,1130,1
computer_output,1372,2
computer_output,1123,4
computer_output,1121,3
computer_output,1158,1
computer_output,1084,1
computer_output,1140,3
computer_output,1275,2
computer_output,1604,3
computer_output,1656,1
computer_output,1283,5
computer_output,1255,3
computer_output,1164,3
computer_output,858,2
computer_output,1160,2
computer_output,1313,2
computer_output,1141,2
computer_output,1144,2
computer_output,1227,1
computer_output,1492,3
computer_output,1747,1
computer_output,1126,2
computer_output,1398,2
computer_output,959,1
computer_output,1127,3
computer_output,1503,1
computer_output,1257,3
computer_output,1386,4
computer_output,1457,2
computer_output,1141,4
computer_output,1777,1
computer_output,1017,1
computer_output,1264,4
computer_output,1198,2
computer_output,1262,1
computer_output,1070,3
computer_output,1288,2
computer_output,1428,4
computer_output,1220,2
computer_output,956,3
computer_output,1457,4
computer_output,1395,3
computer_output,1511,1
computer_output,1240,2
computer_output,1395,2
random_output,2100,1
random_output,1249,1
random_output,1249,2
random_output,2479,2
random_output,2479,4
random_output,1615,2
random_output,1838,2
random_output,1736,5
random_output,1785,1
random_output,1046,4
random_output,1078,1
random_output,1442,1
random_output,1404,2
random_output,1001,1
random_output,1001,1
random_output,1881,2
random_output,1881,1
random_output,1666,1
random_output,1901,1
random_output,1540,5
random_output,1369,2
random_output,972,5
random_output,972,4
random_output,930,1
random_output,1632,1
random_output,1087,1
random_output,1087,3
random_output,1184,1
random_output,2225,1
random_output,1714,2
random_output,2406,3
random_output,921,1
random_output,1827,1
random_output,1556,2
random_output,1270,1
random_output,1734,3
random_output,1363,1
random_output,1739,1
random_output,1127,3
random_output,1205,1
random_output,1157,1
random_output,1586,1
random_output,1317,3
random_output,1686,2
random_output,2571,1
random_output,1744,2
random_output,1739,3
random_output,1152,2
random_output,1123,3
random_output,1615,1
random_output,1838,1
random_output,1442,2
random_output,1046,2
random_output,2571,3
random_output,1785,2
random_output,1881,1
random_output,1556,1
random_output,2406,2
random_output,1686,1
random_output,1001,2
random_output,1181,2
random_output,1087,5
random_output,1744,4
random_output,1632,1
random_output,1078,2
random_output,1369,2
random_output,1440,3
random_output,1031,1
random_output,1666,1
random_output,1249,2
random_output,1241,2
random_output,1714,2
random_output,972,2
random_output,2100,1
random_output,1827,1
random_output,1677,2
random_output,1157,2
random_output,1632,1
random_output,1181,2
random_output,930,2
random_output,1369,2
random_output,1127,4
random_output,1734,3
random_output,1152,1
random_output,1901,1
random_output,1739,1
random_output,1736,5
random_output,1404,2
random_output,921,1
random_output,1184,1
random_output,1540,4
random_output,1363,4
random_output,2479,1
random_output,1317,1
random_output,1205,3
random_output,1586,2
