exp_type,response,three_average
excerpts,2,2.0
excerpts,3,2.6666666666666665
excerpts,5,4.0
excerpts,2,2.3333333333333335
excerpts,4,2.0
excerpts,2,1.6666666666666667
excerpts,4,2.3333333333333335
excerpts,4,4.0
excerpts,5,2.6666666666666665
excerpts,3,1.0
excerpts,5,2.0
excerpts,4,3.0
excerpts,4,4.0
excerpts,4,2.0
excerpts,4,3.0
excerpts,4,2.3333333333333335
excerpts,4,3.0
excerpts,4,3.3333333333333335
excerpts,4,2.3333333333333335
excerpts,5,4.0
excerpts,3,2.0
excerpts,4,2.3333333333333335
excerpts,3,1.0
excerpts,4,2.0
excerpts,5,4.666666666666667
excerpts,5,2.0
excerpts,4,3.0
excerpts,4,3.3333333333333335
excerpts,1,1.0
excerpts,4,3.3333333333333335
excerpts,3,1.6666666666666667
excerpts,4,3.0
excerpts,3,3.3333333333333335
excerpts,5,4.0
excerpts,3,1.0
excerpts,1,2.0
excerpts,4,2.6666666666666665
excerpts,4,4.0
excerpts,2,2.0
excerpts,2,2.0
excerpts,3,1.6666666666666667
excerpts,4,3.0
excerpts,5,1.0
excerpts,5,2.3333333333333335
excerpts,5,3.6666666666666665
excerpts,1,1.0
excerpts,2,2.0
excerpts,3,1.6666666666666667
excerpts,4,4.0
human_output,3,2.0
human_output,5,5.0
human_output,2,2.0
human_output,4,1.3333333333333333
human_output,4,4.0
human_output,2,1.0
human_output,4,3.0
human_output,5,2.3333333333333335
human_output,4,2.0
human_output,4,3.6666666666666665
human_output,3,3.0
human_output,3,2.3333333333333335
human_output,3,4.0
human_output,1,4.0
human_output,2,1.6666666666666667
human_output,4,4.0
human_output,3,2.3333333333333335
human_output,1,1.0
human_output,4,3.6666666666666665
human_output,5,4.666666666666667
human_output,5,2.3333333333333335
human_output,4,3.0
human_output,3,1.3333333333333333
human_output,4,1.6666666666666667
human_output,3,1.6666666666666667
human_output,5,1.3333333333333333
human_output,4,3.3333333333333335
human_output,4,4.0
human_output,2,3.3333333333333335
human_output,4,1.0
human_output,4,3.3333333333333335
human_output,3,3.0
human_output,3,2.0
human_output,2,1.0
human_output,3,2.0
human_output,4,2.0
human_output,1,1.0
human_output,4,1.6666666666666667
human_output,3,1.6666666666666667
human_output,3,1.6666666666666667
human_output,3,2.0
human_output,5,4.333333333333333
human_output,3,2.0
human_output,5,4.666666666666667
human_output,5,4.0
human_output,1,1.0
human_output,2,1.0
human_output,3,2.6666666666666665
human_output,5,2.6666666666666665
human_output,5,2.0
human_output,2,1.0
computer_output,2,1.0
computer_output,4,1.3333333333333333
computer_output,5,4.0
computer_output,1,1.0
computer_output,2,1.0
computer_output,4,3.6666666666666665
computer_output,3,2.0
computer_output,1,2.0
computer_output,1,1.0
computer_output,3,1.6666666666666667
computer_output,2,1.6666666666666667
computer_output,3,2.0
computer_output,1,1.0
computer_output,5,4.0
computer_output,3,2.6666666666666665
computer_output,3,3.3333333333333335
computer_output,2,2.0
computer_output,2,1.6666666666666667
computer_output,2,2.0
computer_output,2,1.0
computer_output,2,1.0
computer_output,1,1.0
computer_output,3,1.0
computer_output,1,1.3333333333333333
computer_output,2,1.3333333333333333
computer_output,2,2.0
computer_output,1,1.0
computer_output,3,2.0
computer_output,1,1.0
computer_output,3,3.3333333333333335
computer_output,4,3.6666666666666665
computer_output,2,4.0
computer_output,4,2.3333333333333335
computer_output,1,1.0
computer_output,1,1.3333333333333333
computer_output,4,2.0
computer_output,2,1.0
computer_output,1,1.6666666666666667
computer_output,3,2.0
computer_output,2,2.0
computer_output,4,1.0
computer_output,2,1.0
computer_output,3,1.0
computer_output,4,1.0
computer_output,3,2.6666666666666665
computer_output,1,1.0
computer_output,2,1.0
computer_output,2,1.0
random_output,2,1.0
random_output,3,2.0
random_output,1,1.6666666666666667
random_output,1,1.0
random_output,2,1.0
random_output,2,1.0
random_output,3,1.0
random_output,2,1.0
random_output,1,1.0
random_output,1,1.0
random_output,2,1.0
random_output,1,1.0
random_output,2,1.6666666666666667
random_output,2,2.3333333333333335
random_output,5,4.666666666666667
random_output,4,1.0
random_output,1,1.0
random_output,2,3.0
random_output,2,1.0
random_output,3,2.0
random_output,1,1.6666666666666667
random_output,1,1.0
random_output,2,1.0
random_output,2,1.0
random_output,2,2.0
random_output,2,1.0
random_output,1,1.0
random_output,1,1.0
random_output,2,1.6666666666666667
random_output,2,1.6666666666666667
random_output,1,1.0
random_output,2,1.6666666666666667
random_output,2,2.0
random_output,2,1.6666666666666667
random_output,4,3.0
random_output,3,2.0
random_output,1,1.3333333333333333
random_output,1,1.0
random_output,1,1.0
random_output,5,4.333333333333333
random_output,2,2.0
random_output,1,1.0
random_output,1,1.0
random_output,4,2.0
random_output,4,2.0
random_output,1,1.0
random_output,1,1.0
random_output,3,1.0
random_output,2,1.0
